,Method,URL,Query,Size,SizeStdev,Time,TimeStdev,Workload,CPU
0,GET,/wp-profiling/index.php/cart/,NULL,428.0,2.016877936358443,109187.23333333334,107896.30323026916,184168.6333333333,5.54
1,POST,/wp-profiling/index.php,?wc-ajax=add_to_cart,532.0,0.0,76500.7,9455.721211905951,184168.6333333333,5.54
2,GET,/wp-profiling/index.php/checkout/,NULL,433.0,0.0,66481.0,25020.857708774867,184168.6333333333,5.54
3,GET,/wp-profiling/index.php/my-account/,NULL,418.0,0.0,88596.4,10248.962788900926,184168.6333333333,5.54
4,GET,/wp-profiling/index.php,NULL,322.0,0.0,89278.5,18764.54332851152,184168.6333333333,5.54
5,GET,/wp-profiling/index.php/sample-page/,NULL,416.0,0.0,90786.86666666667,19654.316252694203,184168.6333333333,5.54
6,GET,/wp-profiling/index.php/shop/,NULL,394.0,0.0,84083.66666666667,9135.896801508656,184168.6333333333,5.54
7,GET,/wp-profiling/index.php/product/testproduct01/,NULL,426.0,0.0,107194.33333333333,33412.3586936221,184168.6333333333,5.54
8,POST,/wp-profiling/index.php/my-account/lost-password/,NULL,705.0,0.0,86935.16666666667,8609.854094175378,184168.6333333333,5.54
9,GET,/wp-profiling/wp-content/plugins/woocommerce/assets/images/placeholder.png,NULL,353.0,0.0,383.96666666666664,51.14110522542665,184168.6333333333,5.54
10,GET,/wp-profiling/index.php/2020/11/,NULL,419.0,0.0,90393.13333333333,18864.432385390992,184168.6333333333,5.54
11,GET,/wp-profiling/index.php/my-account/lost-password/,NULL,435.0,0.0,90759.9,22369.975700740582,184168.6333333333,5.54
12,GET,/wp-profiling/index.php/2021/01/04/nulla-iure-corrupti-nihil-mollitia/,NULL,435.0,0.0,257032.13333333333,12531.490322613154,184168.6333333333,5.54
13,GET,/wp-profiling/index.php/category/uncategorized/,NULL,412.0,0.0,93130.4,18159.067894580934,184168.6333333333,5.54
14,GET,/wp-profiling/index.php/2020/11/25/hello-world/,NULL,401.0,0.0,264355.73333333334,11640.859643376069,184168.6333333333,5.54
15,POST,/wp-profiling/index.php,?wc-ajax=get_refreshed_fragments,485.44736842105266,21.251006168129894,68008.94736842105,40017.32671416853,184168.6333333333,5.54
16,POST,/wp-profiling/index.php/cart/,NULL,676.0,0.0,97233.36666666667,29347.10269960085,184168.6333333333,5.54
